k_E,k_M,k_CD,k_CDS,k_R,k_RE,k_b,k_CE,k_I,k_P1,k_P2,k_DP,d_M,d_E,d_CD,d_CE,d_R,d_RP,d_RE,d_I,K_S,K_M,K_E,K_CD,K_CE,K_RP,K_P1,K_P2,bistable,rebi
2.6365,6.8546,0.2727,4.1704,1.755,660.9774,0.0283,0.0513,0.1469,405.6669,91.8027,10.2507,5.8539,1.3926,4.9204,14.2961,0.0395,0.0689,0.1319,0.552,1.714,0.7036,0.4029,1.2903,8.8675,0.0564,7.59,13.9334,1,0
2.9572,4.2523,0.1527,0.6422,0.1735,199.5297,0.0096,2.1948,1.0398,233.5188,442.7301,31.2632,2.6795,0.7899,0.9405,5.5419,0.3726,0.2063,0.1371,0.6068,2.8263,1.4275,0.2827,5.3692,8.1374,0.0568,15.9719,16.6969,1,1
3.2115,8.641,0.0256,4.3611,1.2741,59.6555,0.0184,3.0608,0.4981,136.7368,149.9401,7.3283,2.5132,1.6393,2.556,12.6297,0.3125,0.5212,0.2231,0.6425,1.0788,0.343,0.1431,3.7806,0.3168,0.0476,17.4733,5.217,1,1
3.1607,5.8004,0.286,1.8111,1.4751,54.9139,0.0167,1.9739,0.2743,329.069,213.7173,32.3604,3.7338,0.5405,4.6935,4.5486,0.0353,0.473,0.1743,1.4943,1.0204,0.4478,0.4279,8.0077,5.0416,0.0139,0.8989,2.9054,1,1
2.1486,6.139,0.1117,3.2045,0.9391,308.3526,0.0187,2.785,1.0397,381.8012,238.4486,8.5668,3.6832,0.9499,2.9375,4.9383,0.4927,0.511,0.0663,0.9833,0.624,0.07,0.0656,0.2793,1.4035,0.0985,19.2489,7.7336,1,0
3.029,6.2171,0.1334,0.6176,0.299,170.7775,0.0172,2.5676,1.2685,447.9641,376.3638,8.2563,2.0906,0.738,1.5804,12.3724,0.0469,0.4011,0.2794,2.7454,1.5124,0.2728,0.7792,0.2853,8.2796,0.0044,17.6842,11.6714,1,1
2.8688,7.78,0.1128,3.1441,0.1431,1324.1222,0.0217,1.6075,0.3372,344.3701,303.3298,12.7653,6.7215,1.3281,0.6623,7.8946,0.5618,0.3705,0.1621,0.2891,3.1157,1.1414,0.541,4.5993,4.7168,0.0871,16.9459,6.2045,1,0
3.968,1.6537,0.2546,0.9841,0.0306,1256.4882,0.0071,0.3169,0.3764,191.6566,338.2707,9.5234,5.0811,1.9459,6.6014,0.5421,0.1275,0.5806,0.2064,0.857,2.3296,0.0261,0.4486,7.7532,7.9981,0.063,1.9121,7.9836,1,1
3.6816,6.1248,0.0707,1.2213,0.0299,1585.4773,0.0073,2.7675,0.4425,251.8182,308.4285,11.5861,0.3071,1.6802,10.0247,3.327,0.5066,0.1629,0.0903,0.1278,4.4375,0.2707,1.281,0.5792,6.0724,0.0798,2.9021,4.6347,1,1
3.5428,7.1229,0.2134,4.2379,1.1074,221.6171,0.0286,0.8206,0.0488,344.3447,391.6731,28.0984,1.5791,0.485,12.2782,12.0656,0.5172,0.164,0.1167,2.5717,4.6288,0.6582,0.0637,6.669,5.5513,0.0711,6.0896,6.0554,1,1
1.9807,6.9459,0.0091,4.152,0.0853,453.6548,0.0024,0.1476,0.4692,101.033,71.8081,14.0484,6.7848,0.7871,4.9927,9.666,0.2503,0.3092,0.2731,0.9511,1.1555,0.4704,0.1899,2.1921,1.2831,0.0759,11.5526,15.8463,1,1
2.8607,6.7554,0.0891,3.4749,0.6027,20.5577,0.0047,2.2883,0.7847,394.1303,403.4012,18.2211,4.3855,0.8131,8.2791,8.1004,0.2718,0.3629,0.1463,0.734,3.4313,1.3517,0.2896,7.0607,2.3521,0.0861,10.7355,15.6345,1,1
2.7424,3.7174,0.1098,2.2996,0.0717,1154.0802,0.0231,3.447,1.3234,156.3665,235.2386,28.0132,0.5307,1.2329,0.742,13.066,0.5227,0.1112,0.2902,0.8515,3.6612,0.2359,0.3157,9.0716,2.2062,0.0679,4.1824,3.5585,1,1
