k_E,k_M,k_CD,k_CDS,k_R,k_RE,k_b,k_CE,k_I,k_P1,k_P2,k_DP,d_M,d_E,d_CD,d_CE,d_R,d_RP,d_RE,d_I,K_S,K_M,K_E,K_CD,K_CE,K_RP,K_P1,K_P2,off_thresh
3.7441,4.2855,0.018000000000000002,3.1232,0.1769,394.0839,0.0047,2.5338,0.275,5.8969,6.7844,0.4642,2.98,0.3002,5.8545,0.151,0.0824,0.009,0.0685,0.0362,1.0843,0.6603,1.2739,4.533,0.1253,0.0273,0.2981,0.5798,8.473101096404823
0.4086,0.2655,0.0444,0.3883,0.3686,19.7646,0.0014,0.0816,0.0322,11.1696,436.2376,7.7429,5.5343,0.1366,0.7516,1.2923,0.0113,0.0136,0.0123,0.1946,0.9649,0.0277,0.3678,0.7079,0.3904,0.0794,13.4864,1.004,0.55207731450131
0.0962,0.9313,0.0834,1.2561,0.2187,1572.4608,0.0005,0.1,0.1692,7.6592,48.1745,12.297,0.5152,0.2959,0.1648,0.7534,0.0073,0.0463,0.0273,0.1677,0.297,0.0324,0.0178,1.2449,0.5993,0.0017,1.5584,0.2028,0.5335490743180571
0.4632,0.1385,0.006999999999999999,0.1871,0.308,22.0199,0.0102,1.7458,1.1179,241.1602,6.5353,1.6,0.179,0.0372,0.4574,0.3354,0.1312,0.0435,0.0407,0.8626,1.3223,0.3393,0.3426,1.3086,8.4872,0.0026,15.767,6.3256,0.8175108197520642
0.4396,2.68,0.005,2.0141,0.2371,184.3061,0.0098,0.0359,0.2146,11.4814,250.9877,3.5668,3.9046,0.126,2.9136,1.2474,0.0614,0.0173,0.0084,0.2709,0.2794,0.4453,0.1414,2.0780000000000003,5.7909,0.0106,0.5402,0.4614,0.6661013636940104
1.885,0.1994,0.0159,2.8802,0.1421,1302.0482,0.0057,0.1007,0.068,6.2376,24.339,24.4548,1.3626,0.5167,0.7397,10.1433,0.4769,0.0259,0.0429,0.5183,4.3615,0.0219,0.1349,0.3326,1.5724,0.0054,9.7511,2.8046,6.12632232898325
0.2311,0.1442,0.0115,0.0771,1.3173,999.3452,0.017,0.6989,0.0397,42.9649,429.0885,3.4235,0.7888,0.4772,7.5189,5.5338,0.225,0.0759,0.2818,0.57,4.1729,0.1411,0.0309,1.0071,0.5926,0.0398,4.5722,0.6542,5.529976041125901
1.8759,1.6969,0.0839,0.0588,0.6546,82.8325,0.0073,0.0851,0.0911,56.8884,5.8877,7.8969,0.7445,0.2366,0.3212,7.8075,0.0082,0.2293,0.0173,0.2553,3.054,0.5806,0.2555,2.3563,0.2886,0.0048,1.6237,5.2291,3.257823246883944
0.1033,3.1922,0.0058,0.19899999999999998,0.7442,26.3261,0.0007,0.5566,1.275,254.6582,72.7652,6.1625,0.4196,0.0439,0.2172,0.4895,0.1391,0.0849,0.0031,2.2747,4.291,0.9753,0.965,6.3407,0.2995,0.0067,3.8653,0.8103,1.0927241047717842
1.9987,4.4702,0.0168,0.0679,0.7879999999999999,39.845,0.0106,0.8013,0.1804,281.4658,13.0696,9.2587,2.5994,0.5968,0.1732,0.2041,0.0112,0.0168,0.0118,0.0465,0.4399,0.0194,0.1954,0.1293,5.8696,0.0075,19.8713,0.8213,0.6892326680987446
0.3158,1.9831,0.0034,0.1788,0.3117,46.0097,0.0003,0.2348,0.6644,83.5766,37.9183,0.5924,4.9625,0.026,2.42,4.8448,0.0316,0.0459,0.0099,0.11,0.1509,0.0439,0.1378,1.7537,0.1103,0.0152,3.6253,0.3974,0.5712489738203328
0.0615,8.8032,0.0073,1.1688,0.4946,146.0044,0.0013,0.158,0.1489,107.6143,16.2432,28.4741,1.1008,0.0441,0.263,0.1663,0.1307,0.0855,0.0115,2.4116,0.457,0.0763,0.5763,0.5767,0.0945,0.008,19.8302,0.628,6.786977918073822
0.0801,0.2679,0.0409,1.1497,0.9547,1176.304,0.0013,2.1174,0.3192,22.075,7.1747,2.1825,0.3183,0.076,0.4451,0.7539,0.032,0.2117,0.0151,2.0572,0.4893,0.0339,0.0403,0.3664,0.0976,0.0079,18.9453,5.7686,1.886770253887835
